x,orb_pct,game_result,ft_rate,ts_pct,drb_pct,trb_pct,tov_pct,pace,date_game,stl_pct,game_season,pts,fg3a_per_fga_pct,game_location,off_rtg,efg_pct,def_rtg,blk_pct,team_id,ast_pct,fta_per_fga_pct
,46.9,W,.138,.718,71.1,60.0,9.8,92.6,2024-03-27,7.6,72,145,.468,@,156.7,.702,109.1,15.1,NYK,67.3,.170
,32.1,L,.091,.546,80.0,52.1,9.4,94.3,2024-03-29,9.6,73,126,.336,@,121.1,.527,124.9,2.4,NYK,47.1,.109
,30.6,L,.250,.524,77.5,51.7,9.3,97.2,2024-03-31,8.2,74,112,.467,,115.2,.484,116.3,6.3,NYK,63.2,.370
,17.9,L,.224,.581,76.7,43.5,14.1,90.7,2024-04-02,12.1,75,99,.447,@,109.1,.539,120.2,5.6,NYK,71.4,.276
,25.7,W,.250,.647,76.9,52.7,12.3,95.3,2024-04-04,9.4,76,120,.350,,125.9,.625,114.4,4.5,NYK,77.3,.363
,19.1,L,.217,.534,60.4,40.0,16.1,98.3,2024-04-05,9.2,77,100,.349,@,101.7,.494,109.9,2.9,NYK,61.1,.289
,31.0,W,.196,.600,75.7,51.9,6.4,91.8,2024-04-07,9.8,78,122,.315,@,132.9,.565,118.7,14.6,NYK,55.6,.239
,18.2,W,.229,.697,67.6,44.3,10.7,92.6,2024-04-09,6.5,79,128,.434,@,138.2,.657,126.4,6.7,NYK,67.4,.241
,39.5,W,.061,.571,77.8,59.1,12.7,95.2,2024-04-11,7.4,80,118,.364,@,124.0,.566,114.5,9.1,NYK,49.0,.101
,21.6,W,.253,.590,59.0,40.8,5.1,86.6,2024-04-12,11.5,81,111,.361,,128.2,.542,123.6,6.0,NYK,55.3,.301
,35.6,W,.176,.599,71.2,54.6,17.3,93.6,2024-04-14,6.8,82,120,.352,,116.1,.571,115.2,8.6,NYK,58.7,.231
,25.5,L,.149,.510,85.3,49.4,11.3,99.3,2023-10-25,10.1,1,104,.447,,104.7,.479,124.9,7.0,CHI,66.7,.191
,25.0,W,.222,.467,82.2,49.5,13.2,99.2,2023-10-27,9.1,2,104,.394,,95.0,.414,94.0,10.4,CHI,48.6,.283
,25.5,L,.140,.510,57.1,38.4,7.4,92.4,2023-10-28,10.8,3,102,.301,@,110.3,.478,127.7,8.6,CHI,41.0,.172
,21.7,W,.299,.556,75.6,48.4,11.4,101.4,2023-10-30,7.9,4,112,.195,@,110.4,.494,103.5,14.3,CHI,47.5,.356
,27.3,L,.112,.559,70.5,48.9,12.2,93.0,2023-11-01,10.8,5,105,.371,@,112.9,.534,122.6,9.1,CHI,45.2,.124
,22.5,L,.112,.562,80.5,51.9,9.5,95.8,2023-11-03,4.2,6,107,.315,,111.7,.545,113.7,7.8,CHI,48.8,.157
,18.8,L,.186,.525,73.7,43.0,10.3,95.4,2023-11-04,7.3,7,101,.302,@,105.9,.494,128.9,6.7,CHI,71.8,.267
,22.2,W,.172,.641,60.5,40.9,7.3,97.3,2023-11-06,12.3,8,130,.366,,133.6,.613,116.1,7.0,CHI,54.2,.204
,18.0,L,.177,.542,69.8,41.9,11.7,96.9,2023-11-08,11.2,9,115,.344,,107.5,.510,108.4,16.7,CHI,71.4,.240
,25.0,W,.220,.583,64.4,44.9,6.4,95.4,2023-11-12,12.6,10,119,.330,,124.7,.544,113.2,10.7,CHI,50.0,.275
,31.0,L,.190,.499,69.0,47.0,6.8,98.5,2023-11-13,9.1,11,109,.420,@,110.6,.450,119.8,16.7,CHI,63.2,.210
