pts_per_g,ws_per_48,year,mp_per_g,player,trb_per_g,g,vorp,ast,ws,pts,mp,college_name,ast_per_g,trb,fg3_pct,ft_pct,bpm,pick_overall,fg_pct,team_id,seasons
,,2019,,Vanja MarinkoviÄ,,,-0.1,,,,,,,,,,,60,,SAC,
pts_per_g,ws_per_48,year,mp_per_g,player,trb_per_g,g,vorp,ast,ws,pts,mp,college_name,ast_per_g,trb,fg3_pct,ft_pct,bpm,pick_overall,fg_pct,team_id,seasons
23.0,.076,2020,34.5,Anthony Edwards,5.2,306,,1255,16.6,7040,10549,Georgia,4.1,1592,.355,.790,0.9,1,.446,MIN,5
9.1,.074,2020,18.9,James Wiseman,5.6,148,7.8,110,4.3,1350,2799,Memphis,0.7,830,.262,.683,-3.9,2,.560,GSW,4
20.2,.096,2020,31.9,LaMelo Ball,6.2,188,-1.4,1392,12.0,3789,6006,,7.4,1171,.375,.838,2.8,3,.427,CHO,5
9.7,.064,2020,27.7,Patrick Williams,4.2,218,7.3,290,8.0,2107,6043,Florida State,1.3,918,.409,.778,-1.9,4,.465,CHI,5
8.4,.084,2020,27.4,Isaac Okoro,2.8,284,0.1,475,13.6,2384,7778,Auburn,1.7,809,.347,.730,-2.2,5,.466,CLE,5
8.5,.175,2020,20.9,Onyeka Okongwu,6.0,237,-0.4,233,18.0,2023,4949,USC,1.0,1420,.312,.757,0.2,6,.638,ATL,5
8.1,-.004,2020,26.1,Killian Hayes,2.9,210,2.7,1090,-0.5,1704,5479,,5.2,619,.277,.775,-3.9,7,.382,DET,4
8.0,.126,2020,16.7,Obi Toppin,3.2,288,-2.7,310,12.6,2298,4799,Dayton,1.1,928,.352,.771,0.9,8,.521,NYK,5
9.8,.057,2020,26.2,Deni Avdija,6.0,292,3.5,741,9.2,2876,7660,,2.5,1747,.322,.743,-1.9,9,.454,WAS,5
8.6,.131,2020,16.4,Jalen Smith,5.2,211,0.3,159,9.5,1812,3461,Maryland,0.8,1098,.342,.737,-0.3,10,.518,PHO,5
13.6,.072,2020,26.9,Devin Vassell,3.7,239,1.4,605,9.7,3239,6419,Florida State,2.5,889,.369,.809,-0.3,11,.444,SAS,4
17.2,.150,2020,32.9,Tyrese Haliburton,3.7,265,2.7,2307,27.2,4556,8720,Iowa State,8.7,985,.390,.853,4.3,12,.475,SAC,5
5.2,.036,2020,13.3,Kira Lewis Jr.,1.3,131,14.0,233,1.3,687,1745,Alabama,1.8,169,.294,.848,-3.5,13,.397,NOP,4
8.4,.072,2020,20.9,Aaron Nesmith,3.2,248,-0.6,256,7.8,2072,5180,Vanderbilt,1.0,791,.375,.809,-2.2,14,.452,BOS,5
13.2,.062,2020,26.3,Cole Anthony,4.6,257,-0.3,1043,8.8,3393,6757,UNC,4.1,1177,.341,.850,-0.8,15,.416,ORL,5
9.2,.088,2020,25.9,Isaiah Stewart,7.6,240,2.1,295,11.3,2213,6209,Washington,1.2,1816,.347,.732,-2.2,16,.497,POR,5
7.5,-.002,2020,20.4,Aleksej Pokusevski,4.6,168,-0.4,327,-0.2,1253,3429,,1.9,778,.304,.702,-3.1,17,.391,MIN,4
6.4,.083,2020,20.3,Josh Green,2.7,225,-1.0,345,7.9,1449,4568,Arizona,1.5,610,.378,.689,-2.3,18,.503,DAL,5
14.1,.079,2020,30.2,Saddiq Bey,5.2,292,-0.3,538,14.6,4103,8804,Villanova,1.8,1532,.352,.842,-0.7,19,.408,BRK,4
7.8,.087,2020,19.9,Precious Achiuwa,5.7,263,2.9,258,9.5,2041,5226,Memphis,1.0,1496,.307,.608,-2.4,20,.481,MIA,4
18.4,.131,2020,31.1,Tyrese Maxey,2.9,270,-0.5,1104,22.9,4959,8395,Kentucky,4.1,793,.391,.860,1.2,21,.465,PHI,5
4.5,.108,2020,12.3,Zeke Nnaji,2.4,195,6.7,77,5.4,869,2401,Arizona,0.4,476,.368,.662,-2.9,22,.511,DEN,5
1.1,-.048,2020,6.3,Leandro Bolmaro,1.0,49,-0.6,28,-0.3,56,309,,0.6,50,.227,.846,-7.8,23,.270,NYK,2
6.8,.013,2020,18.3,R.J. Hampton,2.7,170,-0.5,307,0.8,1155,3116,,1.8,466,.338,.679,-3.8,24,.408,MIL,4
13.7,.123,2020,25.3,Immanuel Quickley,3.4,292,-1.4,1016,18.9,3991,7388,Kentucky,3.5,982,.375,.857,1.1,25,.421,OKC,5
7.7,.127,2020,17.9,Payton Pritchard,2.4,272,5.7,617,12.9,2090,4875,Oregon,2.3,661,.398,.868,0.2,26,.444,BOS,5
3.0,.133,2020,8.6,Udoka Azubuike,2.8,84,2.8,14,2.0,256,724,Kansas,0.2,235,,.444,-1.5,27,.758,UTA,4
