pts_per_g,ws_per_48,year,mp_per_g,player,trb_per_g,g,vorp,ast,ws,pts,mp,college_name,ast_per_g,trb,fg3_pct,ft_pct,bpm,pick_overall,fg_pct,team_id,seasons
3.8,.015,2021,11.0,Greg Brown III,2.3,70,-0.6,42,0.2,268,773,Texas,0.6,163,.296,.616,-5.1,43,.424,NOP,3
3.4,.043,2021,11.9,Kessler Edwards,2.0,139,-0.6,69,1.5,477,1648,Pepperdine,0.5,275,.350,.744,-3.5,44,.407,BRK,4
,,2021,,Juhann Begarin,,,-0.6,,,,,,,,,,,45,,BOS,
6.0,.030,2021,13.4,Dalano Banton,2.3,152,,264,1.3,909,2035,Nebraska,1.7,349,.290,.717,-1.9,46,.409,TOR,4
0.0,-.495,2021,1.0,David Johnson,0.0,2,0.1,0,0.0,0,2,Louisville,0.0,0,.000,,-27.7,47,.000,TOR,1
0.5,-.297,2021,3.0,Sharife Cooper,0.4,13,0.0,5,-0.2,7,39,Auburn,0.4,5,.167,,-16.3,48,.214,ATL,1
,,2021,,Marcus Zegarowski,,,-0.1,,,,,Creighton,,,,,,49,,BRK,
1.0,.029,2021,3.3,Filip PetruÅ¡ev,0.3,3,,0,0.0,3,10,Gonzaga,0.0,1,,.500,-8.0,50,.500,PHI,1
6.1,.011,2021,12.8,Brandon Boston Jr.,1.8,107,0.0,87,0.3,654,1366,Kentucky,0.8,196,.311,.772,-4.5,51,.394,MEM,4
5.5,.143,2021,8.9,Luka Garza,2.3,85,-0.9,42,2.2,466,754,Iowa,0.5,194,.325,.703,-1.8,52,.488,DET,3
4.2,.150,2021,11.4,Charles Bassey,4.3,78,0.0,77,2.8,331,887,Western Kentucky,1.0,332,.231,.655,1.1,53,.658,PHI,4
4.6,.094,2021,11.6,Sandro Mamukelashvili,3.2,132,0.7,134,3.0,610,1532,Seton Hall,1.0,422,.332,.726,-1.3,54,.453,IND,4
7.3,.098,2021,18.8,Aaron Wiggins,2.9,202,0.3,240,7.8,1473,3805,Maryland,1.2,587,.390,.782,-1.8,55,.516,OKC,4
0.5,.164,2021,3.5,Scottie Lewis,0.0,2,0.1,1,0.0,1,7,Florida,0.5,0,,.500,6.0,56,,CHO,1
,,2021,,BalÅ¡a Koprivica,,,0.0,,,,,Florida State,,,,,,57,,CHO,
2.6,.137,2021,14.1,Jericho Sims,4.0,142,,72,5.7,368,2004,Texas,0.5,573,.000,.580,-1.3,58,.742,NYK,4
9.8,.149,2021,18.5,RaiQuan Gray,4.0,4,0.4,13,0.2,39,74,Florida State,3.3,16,.417,1.000,2.9,59,.552,BRK,2
6.6,-.024,2021,16.4,Georgios Kalaitzakis,1.6,13,0.1,12,-0.1,86,213,,0.9,21,.385,.467,-7.0,60,.463,IND,1
pts_per_g,ws_per_48,year,mp_per_g,player,trb_per_g,g,vorp,ast,ws,pts,mp,college_name,ast_per_g,skip,trb,fg3_pct,ft_pct,bpm,pick_overall,fg_pct,team_id,seasons
21.6,.075,2022,34.5,Paolo Banchero,7.0,157,,728,8.5,3386,5411,Duke,4.6,,1095,.322,.727,0.2,1,.444,ORL,3
16.8,.184,2022,29.5,Chet Holmgren,8.0,86,3.0,211,9.7,1447,2539,Gonzaga,2.5,,692,.368,.785,3.6,2,.533,OKC,2
13.2,.075,2022,31.5,Jabari Smith Jr.,7.7,159,3.6,229,7.8,2100,5004,Auburn,1.4,,1221,.334,.800,-2.1,3,.429,HOU,3
13.7,.092,2022,31.8,Keegan Murray,5.1,161,-0.1,233,9.8,2205,5118,Iowa,1.4,,819,.383,.810,-0.8,4,.452,SAC,3
16.0,.009,2022,30.1,Jaden Ivey,3.7,156,1.5,701,0.8,2495,4689,Purdue,4.5,,574,.343,.748,-3.1,5,.424,DET,3
15.8,.043,2022,27.4,Bennedict Mathurin,4.0,142,-1.3,243,3.5,2237,3889,Arizona,1.7,,575,.345,.824,-3.5,6,.442,IND,3
11.6,.028,2022,25.3,Shaedon Sharpe,3.5,112,-1.5,188,1.7,1299,2838,Kentucky,1.7,,396,.350,.772,-3.1,7,.445,POR,2
5.1,.084,2022,20.4,Dyson Daniels,3.6,124,-0.8,307,4.4,632,2530,,2.5,,441,.315,.624,-0.5,8,.440,NOP,3
11.6,.023,2022,28.2,Jeremy Sochan,6.0,134,1.0,404,1.8,1549,3780,Baylor,3.0,,807,.284,.737,-3.5,9,.447,SAS,3
3.9,-.020,2022,13.0,Johnny Davis,1.7,81,-1.5,61,-0.4,317,1052,Wisconsin,0.8,,138,.279,.549,-7.0,10,.392,WAS,3
4.6,.054,2022,13.1,Ousmane Dieng,2.3,76,-1.3,87,1.1,348,995,,1.1,,171,.280,.738,-3.1,11,.420,NYK,3
16.5,.137,2022,30.8,Jalen Williams,4.3,150,-0.3,594,13.2,2479,4624,Santa Clara,4.0,,647,.388,.805,1.2,12,.527,OKC,3
11.2,.132,2022,26.9,Jalen Duren,10.2,133,3.8,236,9.8,1496,3575,Memphis,1.8,,1350,.000,.699,-0.3,13,.636,CHO,3
6.9,.027,2022,21.1,Ochai Agbaji,2.6,142,1.5,157,1.7,981,2990,Kansas,1.1,,363,.329,.741,-3.7,14,.426,CLE,3
10.1,.177,2022,21.5,Mark Williams,7.9,62,-1.3,40,4.9,629,1336,Duke,0.6,,488,,.702,0.3,15,.642,CHO,2
7.5,.053,2022,17.1,AJ Griffin,1.9,92,0.8,78,1.8,687,1572,Duke,0.8,,171,.372,.898,-1.7,16,.447,ATL,2
9.3,.087,2022,21.4,Tari Eason,6.1,108,0.1,121,4.2,1002,2316,LSU,1.1,,663,.346,.733,-0.7,17,.454,HOU,3
2.7,.067,2022,9.2,Dalen Terry,1.5,102,0.7,105,1.3,272,937,Arizona,1.0,,154,.233,.618,-2.1,18,.435,CHI,3
6.9,.057,2022,17.9,Jake LaRavia,2.9,75,0.0,95,1.6,518,1339,Wake Forest,1.3,,221,.335,.780,-3.0,19,.393,MIN,3
9.7,-.004,2022,22.1,Malaki Branham,2.3,145,-0.3,286,-0.2,1407,3200,Ohio State,2.0,,337,.331,.853,-5.2,20,.439,SAS,3
6.3,.092,2022,18.4,Christian Braun,3.1,162,-2.6,198,5.7,1016,2978,Kansas,1.2,,508,.373,.681,-2.0,21,.476,DEN,3
8.7,.168,2022,23.3,Walker Kessler,8.0,142,0.0,135,11.5,1231,3302,Auburn,1.0,,1143,.227,.548,2.0,22,.690,MEM,3
6.7,.027,2022,18.2,David Roddy,3.0,138,3.3,145,1.4,927,2506,Colorado State,1.1,,419,.303,.674,-4.3,23,.421,PHI,3
4.7,.037,2022,12.7,MarJon Beauchamp,2.1,104,-1.4,66,1.0,484,1318,,0.6,,214,.353,.716,-4.1,24,.431,MIL,3
4.6,-.020,2022,15.5,Blake Wesley,1.8,102,-0.7,270,-0.7,471,1585,Notre Dame,2.6,,179,.295,.641,-6.4,25,.398,SAS,3
1.1,.036,2022,4.2,Wendell Moore Jr.,0.5,55,-1.7,24,0.2,60,229,Duke,0.4,,30,.087,.800,-2.6,26,.443,DAL,3
7.3,.092,2022,18.4,Nikola JoviÄ,3.7,65,0.0,109,2.3,475,1194,,1.7,,242,.367,.746,-0.5,27,.445,MIA,3
4.2,.024,2022,10.2,Patrick Baldwin Jr.,2.3,72,0.4,41,0.4,301,735,UW-Milwaukee,0.6,,167,.348,.676,-3.7,28,.391,GSW,3
3.8,-.022,2022,11.6,TyTy Washington Jr.,1.2,42,-0.3,52,-0.2,159,489,Kentucky,1.2,,50,.244,.556,-6.5,29,.356,MEM,2
5.8,.074,2022,16.2,Peyton Watson,2.9,107,-0.6,100,2.7,623,1736,UCLA,0.9,,305,.301,.659,-2.5,30,.460,OKC,3
9.3,.040,2022,26.3,Andrew Nembhard,2.4,148,-0.2,646,3.2,1370,3896,Gonzaga,4.4,,349,.348,.794,-2.9,31,.465,IND,3
4.0,.065,2022,14.6,Caleb Houstan,1.6,112,-0.9,59,2.2,452,1637,Michigan,0.5,,184,.361,.818,-2.9,32,.379,ORL,3
3.1,.104,2022,13.8,Christian Koloko,2.9,58,-0.4,31,1.7,182,802,Arizona,0.5,,171,.083,.627,-3.5,33,.480,TOR,1
4.8,.114,2022,15.3,Jaylin Williams,4.0,118,-0.3,186,4.3,564,1811,Arkansas,1.6,,475,.385,.747,-0.3,34,.426,OKC,2
3.8,.041,2022,13.7,Max Christie,2.0,113,0.8,87,1.3,430,1547,Michigan State,0.8,,225,.370,.809,-3.6,35,.416,LAL,3
,,2022,,Gabriele Procida,,,-0.6,,,,,,,,,,,,36,,POR,
7.7,.026,2022,13.9,Jaden Hardy,1.8,125,,177,0.9,963,1740,,1.4,,223,.378,.803,-3.5,37,.419,SAC,3
2.2,.044,2022,7.8,Kennedy Chandler,1.1,36,-0.7,58,0.3,78,281,Tennessee,1.6,,38,.133,.462,-2.7,38,.422,SAS,1
,,2022,,Khalifa Diop,,,0.0,,,,,,,,,,,,39,,CLE,
5.2,.020,2022,15.9,Bryce McGowens,1.9,105,,105,0.7,548,1669,Nebraska,1.0,,195,.330,.764,-5.4,40,.419,MIN,2
0.5,-.091,2022,2.9,E.J. Liddell,0.6,8,-1.4,1,0.0,4,23,Ohio State,0.1,,5,.000,1.000,-4.7,41,.167,NOP,1
1.0,-.062,2022,2.7,Trevor Keels,0.7,3,0.0,0,0.0,3,8,Duke,0.0,,2,.250,,-13.0,42,.250,NYK,1
2.6,.130,2022,8.1,Moussa DiabatÃ©,2.4,37,0.0,9,0.8,97,301,Michigan,0.2,,89,.500,.588,-1.7,43,.514,LAC,3
2.5,-.001,2022,5.2,Ryan Rollins,0.9,28,0.0,20,0.0,69,146,Toledo,0.7,,25,.462,.840,-3.7,44,.447,ATL,3
2.0,.183,2022,4.0,Josh Minott,0.9,47,-0.1,13,0.7,96,187,Memphis,0.3,,42,.375,.909,1.7,45,.486,CHO,2
,,2022,,Ismael Kamagate,,,0.2,,,,,,,,,,,,46,,DET,
8.2,.084,2022,23.0,Vince Williams Jr.,4.6,67,,179,2.7,551,1541,VCU,2.7,,305,.350,.803,-1.2,47,.432,MEM,2
1.4,.055,2022,4.9,Kendall Brown,0.5,21,0.3,8,0.1,30,103,Baylor,0.4,,11,.000,.600,-5.3,48,.545,MIN,2
2.5,.087,2022,7.1,Isaiah Mobley,1.4,22,-0.1,9,0.3,54,156,USC,0.4,,30,.333,.800,-3.8,49,.423,CLE,2
,,2022,,Matteo Spagnolo,,,-0.1,,,,,,,,,,,,50,,MIN,
1.2,-.010,2022,3.9,Tyrese Martin,0.7,17,,2,0.0,21,67,UConn,0.1,,12,.143,1.000,-7.4,51,.391,GSW,2
1.0,-.080,2022,2.5,Karlo MatkoviÄ,2.0,2,-0.1,0,0.0,2,5,,0.0,,4,,,-7.8,52,1.000,NOP,1
1.7,.074,2022,5.4,JD Davison,1.0,21,0.0,22,0.2,35,113,Alabama,1.0,,20,.333,.667,-3.2,53,.406,BOS,3
,,2022,,Yannick Nzosa,,,0.0,,,,,,,,,,,,54,,WAS,
3.1,.158,2022,7.7,Gui Santos,2.0,27,,16,0.7,85,207,,0.6,,53,.357,.895,-1.3,55,.509,GSW,2
,,2022,,Luke Travers,,,0.0,,,,,,,,,,,,56,,CLE,
6.6,.066,2022,17.9,Jabari Walker,4.9,133,,105,3.3,878,2383,Colorado,0.8,,657,.289,.762,-4.1,57,.448,POR,3
,,2022,,Hugo Besson,,,-1.3,,,,,,,,,,,,58,,IND,
,,2022,,,,,,,,,,,,Miami Heat forfeited their Second Round pick.,,,,,,,,
